@RELATION svmTRAIN
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {data,meeting-112918}

@DATA
0.015776,0.030146,2.846109,0.109570,0.198321,0.090610,0.015472,0.018108,-28.715372,2.527811,0.242628,0.588030,0.145342,0.247641,0.165839,0.106467,-0.023396,-0.073653,-0.074272,-0.005065,-0.012550,0.006226,0.001304,0.155140,0.005357,0.020717,0.002554,0.175592,0.000390,0.001251,0.005950,0.020968,0.001434,0.070901,0.010650,0.046620,0.251150,0.025388,0.020606,0.104371,0.010273,0.023316,1.891201,0.369839,0.319166,0.277843,0.227850,0.181698,0.175896,0.167670,0.164040,0.174449,0.172216,0.155872,0.172196,0.009126,0.002111,0.077875,0.007067,0.018774,0.004588,0.090208,0.000511,0.001740,0.005051,0.018206,0.003047,0.018882,data
0.054419,0.003113,2.957760,0.119223,0.163342,0.368853,0.010813,0.077371,-29.183234,2.382232,-0.331501,-0.370862,-0.271202,-0.043911,-0.002874,-0.071581,-0.060922,-0.057030,-0.136811,0.032841,-0.038347,0.017843,0.007770,0.024198,0.023550,0.020203,0.016729,0.031736,0.004949,0.008986,0.012915,0.016234,0.008786,0.021342,0.046703,0.004505,0.327886,0.048751,0.034232,0.423660,0.007030,0.081152,2.265273,0.702793,0.716232,0.449560,0.415412,0.289453,0.299733,0.265473,0.247891,0.217337,0.227533,0.191446,0.181550,0.019708,0.010488,0.021610,0.023582,0.020238,0.019484,0.028379,0.007735,0.010476,0.014264,0.016661,0.011152,0.011031,data
0.139423,0.039422,2.657639,0.242587,0.222531,0.791040,0.018693,0.234096,-28.436874,2.364068,0.613798,-0.068325,0.053035,0.076334,0.147587,-0.160116,0.063005,-0.097090,-0.054616,-0.069799,-0.103941,0.018366,0.002811,0.034772,0.020103,0.018600,0.008816,0.043033,0.002195,0.006557,0.016761,0.044630,0.003227,0.025248,0.123646,0.059283,0.488987,0.112363,0.042348,0.670883,0.018229,0.238689,5.722505,1.003571,0.814560,0.663405,0.520578,0.362850,0.328055,0.379764,0.330183,0.232875,0.250485,0.186756,0.188500,0.025801,0.004066,0.026756,0.027261,0.014247,0.014593,0.052639,0.004577,0.008108,0.017661,0.037999,0.003810,0.015149,data
0.104966,0.022400,2.699292,0.235794,0.247072,0.625971,0.015947,0.158818,-31.675427,2.284775,0.549513,0.119523,0.233995,0.172600,0.155747,-0.105707,0.153490,0.024988,0.017683,-0.015594,-0.021988,0.011156,0.001959,0.052729,0.011606,0.016597,0.005361,0.096629,0.001774,0.004807,0.012263,0.056297,0.002242,0.037112,0.112562,0.043048,0.434306,0.103542,0.044609,0.625963,0.010858,0.224332,5.208961,0.781328,0.627904,0.504339,0.421787,0.304674,0.265440,0.297036,0.254025,0.225687,0.229718,0.173523,0.190509,0.018049,0.002947,0.035076,0.015999,0.017263,0.007185,0.086673,0.003499,0.007259,0.015450,0.036113,0.003022,0.020412,data
0.158596,0.019083,2.900803,0.204959,0.162182,1.195460,0.012245,0.234433,-24.790608,1.094920,-0.205643,0.061799,-0.659163,0.018919,-0.157989,-0.034932,-0.083788,0.015705,-0.042410,0.049817,-0.082585,0.011244,0.007847,0.016264,0.013231,0.019799,0.014041,0.015763,0.004089,0.009114,0.016208,0.015204,0.008215,0.016018,0.076011,0.015961,0.366608,0.056379,0.029809,0.420489,0.006121,0.107038,1.710213,0.827179,0.878731,0.472488,0.492421,0.383795,0.376820,0.294516,0.276875,0.255654,0.252125,0.241730,0.233873,0.013343,0.011771,0.018836,0.015563,0.021795,0.019865,0.016746,0.006239,0.011536,0.018897,0.016468,0.011081,0.009885,data
0.096626,0.004805,2.755206,0.175867,0.189436,0.665000,0.019491,0.138971,-29.447797,2.291242,0.102156,-0.060510,-0.150059,-0.135310,0.011769,-0.026257,-0.081251,0.044712,-0.114406,-0.000225,-0.068998,0.018841,0.006970,0.046473,0.015266,0.017152,0.013593,0.042694,0.003033,0.011442,0.025149,0.019799,0.007200,0.029750,0.066622,0.006064,0.553110,0.057333,0.049512,0.528088,0.011875,0.124482,4.011170,0.986485,0.867326,0.530756,0.448625,0.326762,0.321364,0.307656,0.272225,0.263618,0.282934,0.280848,0.296867,0.026369,0.011289,0.054949,0.021825,0.019241,0.020445,0.045742,0.005363,0.016071,0.028058,0.023082,0.012184,0.016740,data
0.088705,0.035045,3.191709,0.172522,0.179140,0.840392,0.008859,0.121594,-26.670592,1.720708,-0.715552,-0.293506,-0.555436,-0.800476,-0.041015,0.153857,-0.132951,-0.312665,0.063468,0.212450,0.094213,0.013796,0.012199,0.006793,0.048855,0.009794,0.009732,0.024990,0.004241,0.016506,0.006442,0.015393,0.016100,0.030242,0.027566,0.031506,0.216767,0.026635,0.028250,0.367676,0.022833,0.047417,2.795914,0.656567,0.432738,0.323247,0.287989,0.280891,0.267654,0.293292,0.278091,0.296861,0.299533,0.214503,0.201716,0.016821,0.013854,0.006538,0.034820,0.007589,0.009175,0.024222,0.005027,0.018085,0.006569,0.019154,0.022253,0.010094,data
0.078163,0.001049,3.119462,0.220476,0.226776,0.613473,0.006197,0.093725,-30.319436,1.437854,0.837770,0.828037,0.281104,0.378107,0.269860,0.135438,0.107027,0.041185,-0.034258,0.129356,-0.063614,0.002635,0.000668,0.033986,0.001607,0.150418,0.002014,0.013806,0.000647,0.001602,0.002818,0.016586,0.001647,0.043530,0.031524,0.001377,0.187089,0.020833,0.016562,0.257668,0.006126,0.048781,0.711753,0.509227,0.225553,0.194613,0.215077,0.167971,0.157961,0.164028,0.151771,0.137350,0.153438,0.156606,0.139633,0.001910,0.000479,0.013833,0.001220,0.040628,0.001538,0.011323,0.000820,0.001753,0.002958,0.022124,0.002285,0.008454,data
0.230050,0.002797,3.154269,0.298589,0.233684,1.998778,0.005250,0.421933,-30.488658,0.848896,-0.271185,0.099069,-0.092220,-0.076805,0.014921,-0.052394,-0.058025,-0.071751,0.008963,-0.041475,-0.041301,0.012326,0.006653,0.018817,0.009662,0.014049,0.009969,0.022514,0.005247,0.006523,0.007671,0.017541,0.005795,0.010754,0.047059,0.004880,0.192747,0.032970,0.013791,0.406346,0.003564,0.093642,0.883092,0.415908,0.304694,0.233806,0.214461,0.184978,0.195646,0.183114,0.189664,0.165277,0.170590,0.168572,0.150552,0.009581,0.005845,0.014156,0.007128,0.011663,0.008302,0.018994,0.005104,0.005948,0.005556,0.011762,0.004553,0.006737,data
0.084212,0.001319,3.156191,0.213103,0.210856,0.695920,0.007199,0.112238,-30.070689,1.159770,0.474442,1.030166,0.241399,0.504766,0.355442,0.143853,0.100737,0.081895,-0.017587,0.149692,0.022568,0.002365,0.001089,0.021007,0.001774,0.147653,0.002337,0.011379,0.001241,0.002178,0.002607,0.014906,0.001667,0.042841,0.034177,0.001825,0.151220,0.021230,0.017362,0.277849,0.006787,0.052272,0.717483,0.500356,0.242953,0.258839,0.223972,0.192699,0.177611,0.177362,0.169330,0.174127,0.159216,0.150778,0.141087,0.002837,0.001371,0.011647,0.001884,0.046797,0.002385,0.010712,0.001562,0.002546,0.002832,0.023765,0.002424,0.010058,data
